traces_per_group,max_abs_t
10,5.208482984341459
60,7.190454633929847
111,9.132551781531554
161,11.227111226119508
212,13.105576288124272
262,13.747848332940894
312,14.983982185655025
363,16.374946400233824
413,16.620109606286015
464,17.288549669114122
514,17.545384549123337
564,18.66996858111832
615,19.942277087438583
665,20.686641330198054
716,21.34062099487957
766,22.0158904209742
816,22.293734665061088
867,23.29467216239666
917,23.603710344102602
968,24.321320606254876
1018,24.933574704650724
1068,25.47481847055964
1119,25.876420547212344
1169,26.51095839701679
1220,27.082454813880563
1270,27.632637085599583
1321,27.840514730159455
1371,28.57137950655124
1421,29.204191580690782
1472,29.73249122600818
1522,30.484205172459784
1573,31.001760289419874
1623,31.632670542199158
1673,32.233701544814124
1724,32.888757107568516
1774,33.21604412415
1825,33.602034435565045
1875,33.51462228235285
1925,33.828515208794734
1976,34.0483201545998
2026,34.49247422091136
2077,34.690006778929025
2127,35.049375362138676
2177,35.36817912010701
2228,35.68407961855233
2278,36.1548381176271
2329,36.763847282018446
2379,37.23516797633629
2429,37.59762497657419
2480,37.92427770983293
2530,38.232742206262245
2581,38.837431125032495
2631,39.23949630318431
2681,39.52710557750954
2732,40.035544396114
2782,40.26640084654314
2833,40.58602692815486
2883,41.14933820289337
2933,41.76538257694983
2984,42.2322029230034
3034,42.69647865805628
3085,43.03894341098719
3135,43.38873156440141
3185,43.647642155272244
3236,43.93640574732447
3286,44.384772796864596
3337,44.63802776494873
3387,45.234602167545255
3437,45.612438423515236
3488,46.04301070482077
3538,46.272905807964946
3589,46.70257101676526
3639,47.00360271133531
3689,47.28904944991019
3740,47.87873780261786
3790,48.11127270216278
3841,48.527883376663794
3891,48.82038353882626
3942,49.349868900825285
3992,49.611844549881496
4042,49.80973016644617
4093,50.25118125835723
4143,50.519588260850625
4194,50.937641027432825
4244,51.262874642597154
4294,51.693871449405634
4345,52.06392980453753
4395,52.38261584144497
4446,52.88994152545398
4496,53.338502671926065
4546,53.76077817255021
4597,54.127729592684624
4647,54.427059340420556
4698,54.8777577343802
4748,55.0607430152016
4798,55.31361331042877
4849,55.59178333432598
4899,55.75056911111103
4950,56.15972021430319
5000,56.54142232406804
