traces_per_group,max_D
10,0.8
60,0.5833333333333334
111,0.5585585585585585
161,0.5403726708074534
212,0.5188679245283019
262,0.5114503816793893
312,0.5032051282051282
363,0.5096418732782368
413,0.4963680387409201
464,0.4935344827586207
514,0.49416342412451364
564,0.50177304964539
615,0.5008130081300813
665,0.487218045112782
716,0.4944134078212291
766,0.4973890339425588
816,0.48774509803921573
867,0.49365628604382933
917,0.4896401308615049
968,0.4979338842975206
1018,0.5019646365422397
1068,0.5046816479400749
1119,0.5075960679177838
1169,0.5081266039349872
1220,0.5024590163934426
1270,0.5031496062992127
1321,0.5049205147615443
1371,0.5025528811086799
1421,0.5010555946516537
1472,0.5006793478260869
1522,0.5006570302233903
1573,0.4984106802288621
1623,0.5009242144177449
1673,0.49850567842199645
1724,0.4988399071925754
1774,0.49887260428410374
1825,0.4991780821917808
1875,0.5008
1925,0.5044155844155844
1976,0.5045546558704453
2026,0.5034550839091807
2077,0.5002407318247473
2127,0.5025858015984954
2177,0.5016077170418006
2228,0.502692998204668
2278,0.5
2329,0.5010734220695576
2379,0.5018915510718789
2429,0.5026759983532318
2480,0.5040322580645161
2530,0.5055335968379446
2581,0.5040681906237892
2631,0.5024705435195743
2681,0.5024244684819097
2732,0.5007320644216692
2782,0.5028756290438534
2833,0.504412283798094
2883,0.5060700659035727
2933,0.5063075349471531
2984,0.5060321715817695
3034,0.5075807514831905
3085,0.5085899513776337
3135,0.5106858054226475
3185,0.5086342229199372
3236,0.5080346106304079
3286,0.5085209981740719
3337,0.509739286784537
3387,0.5098907587835844
3437,0.5091649694501018
3488,0.5088876146788991
3538,0.5065008479366874
3589,0.5076623014767344
3639,0.5061830173124484
3689,0.5063702900515046
3740,0.5074866310160427
3790,0.5068601583113457
3841,0.5055975006508722
3891,0.5029555384219995
3942,0.5038051750380518
3992,0.5025050100200401
4042,0.5009896091044037
4093,0.5015880772049841
4143,0.5030171373400918
4194,0.5026227944682881
4244,0.5025918944392083
4294,0.5032603632976247
4345,0.5035673187571922
4395,0.5037542662116041
4446,0.5033738191632928
4496,0.5051156583629893
4546,0.5043994720633524
4597,0.5046769632368937
4647,0.504626640843555
4698,0.5038314176245211
4748,0.5033698399326032
4798,0.50354314297624
4849,0.503815219632914
4899,0.5035721575831802
4950,0.5038383838383839
5000,0.5045999999999999
