traces_per_group,max_abs_t
10,391.8
20,448.56717879783565
30,558.9098856103235
40,626.8597803695512
50,702.5724072795874
60,777.6269670919698
70,846.2586936260249
80,873.974269609979
90,925.7593505295104
100,997.8047034293111
110,1058.5424937934058
120,1100.9799873785619
130,1157.0460763643414
140,1214.4983196171988
150,1249.7597674489286
160,1271.845478288291
170,1317.7951031403932
180,1367.1535205191535
190,1413.3611066317644
200,1445.3509737300149
210,1491.77629526988
220,1520.8987844216053
230,1556.1421080318405
240,1593.2471010339034
250,1632.3772569496498
260,1657.2479277498946
270,1680.780706801305
280,1701.7246941653061
290,1734.158205871628
300,1762.0611409139576
310,1802.3704413618493
320,1832.037713862035
330,1861.1794434186486
340,1871.8658160843486
350,1894.704835498367
360,1919.2204506736684
370,1936.1591711625988
380,1955.049576136686
390,1990.6930977835113
400,2013.1318200311625
410,2029.7165816286742
420,2066.4993999737435
430,2085.455504957572
440,2114.063953019608
450,2145.508651800976
460,2165.3367904500387
470,2185.6921349196073
480,2202.4903761383935
490,2221.4196163160973
500,2243.206174346542
510,2266.098414043892
520,2295.3531936160302
530,2313.088976960968
540,2326.2904662583246
550,2330.1137391080188
560,2347.5496013648626
570,2370.936751155067
580,2380.725997878977
590,2406.772200443505
600,2426.442899796397
610,2438.128018636663
620,2466.922430973721
630,2488.6877425080997
640,2508.973420562326
650,2529.4788631831557
660,2551.2879002232617
670,2571.5943224865177
680,2597.192907672125
690,2617.219201713849
700,2630.1239197790865
710,2650.301755609972
720,2653.8816362294324
730,2677.952454791377
740,2695.9213571855075
750,2714.3862295868857
760,2724.5918167132136
770,2738.069669592382
780,2761.222572847167
790,2772.7460469875214
800,2790.334239656621
810,2799.3006775019626
820,2813.8952837742863
830,2824.4942343154034
840,2841.530012450938
850,2858.8467428811673
860,2875.430533098835
870,2889.7897044980905
880,2901.0936197097317
890,2920.100441796707
900,2931.6661575730136
910,2943.8391241250565
920,2956.385711877351
930,2968.2488692372344
940,2991.4680870687544
950,3004.8618236407874
960,3010.011420438059
970,3020.324826128588
980,3034.872068070288
990,3048.5970647722706
1000,3058.7773657017146
