traces_per_group,max_abs_t
10,431.02665443563563
20,566.073498305633
30,749.5021083918782
40,854.4490109510751
50,950.6139926833597
60,1053.7634570202395
70,1091.5708571818332
80,1147.1547369771467
90,1208.6495099125439
100,1248.4165078614985
110,1326.4040499986868
120,1381.3646574517343
130,1471.829768048883
140,1540.130439019416
150,1595.329901032978
160,1667.010732560857
170,1742.1896610208921
180,1790.881649432213
190,1800.869513520592
200,1867.751333360638
210,1895.6732634282782
220,1887.7226098337048
230,1938.1310136853447
240,1978.6644454691607
250,2027.3144205253213
260,2069.445866617866
270,2110.8416641334175
280,2128.306962564916
290,2185.2008495470236
300,2207.209098415207
310,2254.180081312417
320,2307.612933916022
330,2342.422758959689
340,2374.4117392292933
350,2390.187290084227
360,2420.57945586385
370,2451.751574499729
380,2461.9345105549496
390,2477.8981953148273
400,2501.845641115457
410,2541.5636244903258
420,2557.596380278972
430,2594.6746644446966
440,2623.7512422772693
450,2651.4980669256397
460,2668.7530360467777
470,2682.9483891000523
480,2695.8944017565136
490,2726.3515274370916
500,2729.7113790585904
510,2755.5195882453513
520,2760.8251134915795
530,2797.3611297305215
540,2824.999226794124
550,2842.8896389670226
560,2865.294548780268
570,2886.733092475868
580,2887.6515286037093
590,2901.9721593319605
600,2926.6592077903133
610,2950.3987263015024
620,2967.3628487390215
630,2986.323014894003
640,2997.4891216311903
650,3025.43157475085
660,3036.6373666234626
670,3069.5410538413303
680,3090.0616276873816
690,3095.0962659288934
700,3112.6274234833045
710,3118.7694899648145
720,3127.5881023279853
730,3131.8060905705215
740,3122.8762679013475
750,3140.9090870546634
760,3166.1536185767804
770,3185.6259779546203
780,3200.081466587797
790,3223.6356318185444
800,3244.522945950213
810,3265.2792907342628
820,3288.0048352347517
830,3298.8003553337585
840,3314.19166940956
850,3343.2000908370205
860,3354.7244427005953
870,3361.173219586047
880,3385.574782707837
890,3400.0552908081745
900,3412.6259799641366
910,3436.588824841113
920,3452.922345246153
930,3475.2869738623817
940,3493.1160930602205
950,3512.638791238226
960,3524.9491508818105
970,3532.485520897695
980,3546.701394802661
990,3563.753605603379
1000,3579.5253181261783
