sample,D
1,0.007199999999999984
2,0.010599999999999943
3,0.01100000000000001
4,0.012799999999999978
5,0.006000000000000005
6,0.009599999999999997
7,0.016000000000000014
8,0.0126
9,0.015599999999999947
10,0.00759999999999994
11,0.006400000000000072
12,0.010999999999999899
13,0.009800000000000031
14,0.008199999999999999
15,0.013000000000000012
16,0.013000000000000012
17,0.012200000000000044
18,0.016800000000000037
19,0.015000000000000013
20,0.007800000000000029
21,0.02279999999999993
22,0.011199999999999988
23,0.00660000000000005
24,0.00539999999999996
25,0.007599999999999996
26,0.025400000000000034
27,0.005800000000000027
28,0.02300000000000002
29,0.0116
30,0.01940000000000003
31,0.020600000000000063
32,0.014400000000000024
33,0.011800000000000033
34,0.008800000000000002
35,0.01820000000000005
36,0.030399999999999983
37,0.00839999999999999
38,0.016000000000000014
39,0.013600000000000001
40,0.01200000000000001
41,0.010000000000000009
42,0.0068000000000000005
43,0.02200000000000002
44,0.010399999999999993
45,0.010000000000000009
46,0.014799999999999924
47,0.006199999999999983
48,0.007200000000000005
49,0.00940000000000002
50,0.008599999999999997
51,0.02279999999999993
52,0.010599999999999998
53,0.009000000000000008
54,0.018399999999999972
55,0.019199999999999995
56,0.013199999999999996
57,0.009599999999999942
58,0.010600000000000054
59,0.016200000000000103
60,0.006199999999999983
61,0.011199999999999988
62,0.01699999999999996
63,0.01319999999999999
64,0.01639999999999997
65,0.012600000000000056
66,0.007599999999999996
67,0.016800000000000037
68,0.013399999999999967
69,0.01200000000000001
70,0.014599999999999946
71,0.008000000000000007
72,0.011799999999999922
73,0.006199999999999983
74,0.019000000000000017
75,0.014399999999999996
76,0.012800000000000006
77,0.016199999999999992
78,0.01579999999999998
79,0.00759999999999994
80,0.013799999999999923
81,0.010000000000000009
82,0.017600000000000005
83,0.013800000000000034
84,0.007800000000000029
85,0.006000000000000005
86,0.0114
87,0.007000000000000006
88,0.00940000000000002
89,0.010599999999999998
90,0.006000000000000005
91,0.02839999999999998
92,0.010199999999999987
93,0.010000000000000009
94,0.016200000000000006
95,0.017799999999999983
96,0.005600000000000008
97,0.009800000000000031
98,0.0114
99,0.010999999999999954
100,0.007800000000000029
101,0.006199999999999983
102,0.021799999999999986
103,0.008199999999999985
104,0.014800000000000008
105,0.010800000000000032
106,0.009000000000000008
107,0.009800000000000031
108,0.007000000000000006
109,0.00979999999999992
110,0.009199999999999986
111,0.007800000000000001
112,0.007000000000000006
113,0.007400000000000004
114,0.013600000000000001
115,0.015199999999999991
116,0.010999999999999954
117,0.01100000000000001
118,0.019799999999999984
119,0.00539999999999996
120,0.007600000000000051
121,0.010199999999999987
122,0.016
123,0.010800000000000032
124,0.01419999999999999
125,0.010000000000000009
126,0.010799999999999976
127,0.015600000000000003
128,0.017600000000000005
129,0.01100000000000001
130,0.007600000000000003
131,0.01419999999999999
132,0.006399999999999961
133,0.0050000000000000044
134,0.012999999999999984
135,0.0126
136,0.006399999999999961
137,0.011400000000000021
138,0.011399999999999966
139,0.01539999999999997
140,0.007000000000000006
141,0.009000000000000008
142,0.013799999999999923
143,0.01760000000000006
144,0.0040000000000000036
145,0.010199999999999987
146,0.016199999999999992
147,0.010399999999999965
148,0.006400000000000017
149,0.005199999999999982
150,0.011800000000000033
151,0.010000000000000009
152,0.007199999999999984
153,0.010199999999999987
154,0.005400000000000016
155,0.009599999999999997
156,0.0068000000000000005
157,0.005599999999999994
158,0.007399999999999962
159,0.006599999999999995
160,0.007399999999999962
161,0.0050000000000000044
162,0.006000000000000005
163,0.005800000000000027
164,0.016599999999999948
165,0.006799999999999973
166,0.013799999999999923
167,0.004599999999999993
168,0.011199999999999988
169,0.0046000000000000485
170,0.01759999999999999
171,0.010400000000000076
172,0.006400000000000003
173,0.009599999999999997
174,0.007000000000000006
175,0.009599999999999997
176,0.019400000000000084
177,0.024599999999999955
178,0.011199999999999988
179,0.01859999999999995
180,0.013799999999999923
181,0.0102
182,0.010199999999999987
183,0.013000000000000012
184,0.0174
185,0.0045999999999999375
186,0.018199999999999994
187,0.015799999999999925
188,0.019600000000000006
189,0.010199999999999987
190,0.019600000000000062
191,0.010800000000000032
192,0.016599999999999948
193,0.013000000000000012
194,0.01580000000000001
195,0.011799999999999922
196,0.008599999999999997
197,0.019799999999999984
198,0.011800000000000005
199,0.019199999999999995
200,0.010599999999999998
201,0.021600000000000008
202,0.01659999999999999
203,0.021199999999999997
204,0.02639999999999998
205,0.009199999999999986
206,0.01660000000000006
207,0.006599999999999995
208,0.02100000000000002
209,0.016999999999999987
210,0.01880000000000001
211,0.009599999999999997
212,0.023999999999999966
213,0.01639999999999997
214,0.012600000000000056
215,0.02080000000000004
216,0.021600000000000008
217,0.025000000000000022
218,0.013400000000000023
219,0.016800000000000037
220,0.014000000000000012
221,0.012400000000000022
222,0.009599999999999997
223,0.022399999999999975
224,0.0232
225,0.013000000000000012
226,0.017199999999999993
227,0.017799999999999983
228,0.0242
229,0.015399999999999997
230,0.015800000000000036
231,0.013399999999999967
232,0.015000000000000013
233,0.0102
234,0.009200000000000041
235,0.01980000000000004
236,0.01580000000000001
237,0.01880000000000004
238,0.012800000000000034
239,0.016199999999999992
240,0.01100000000000001
241,0.021199999999999997
242,0.014600000000000057
243,0.015000000000000013
244,0.00940000000000002
245,0.02080000000000004
246,0.005399999999999988
247,0.029799999999999938
248,0.020000000000000018
249,0.022800000000000042
250,0.013799999999999979
251,0.017800000000000038
252,0.014600000000000002
253,0.009799999999999975
254,0.0242
255,0.01820000000000005
256,0.023800000000000043
257,0.011199999999999988
258,0.01419999999999999
259,0.022800000000000042
260,0.021399999999999975
261,0.018600000000000005
262,0.02180000000000004
263,0.027599999999999958
264,0.026600000000000013
265,0.02479999999999999
266,0.006399999999999961
267,0.018200000000000105
268,0.010800000000000032
269,0.011400000000000021
270,0.012200000000000044
271,0.02040000000000003
272,0.009800000000000031
273,0.015999999999999986
274,0.01639999999999997
275,0.017800000000000038
276,0.015000000000000013
277,0.009000000000000008
278,0.02779999999999999
279,0.018399999999999972
280,0.01579999999999998
281,0.011399999999999966
282,0.021399999999999975
283,0.01200000000000001
284,0.024399999999999977
285,0.010199999999999987
286,0.011399999999999966
287,0.01200000000000001
288,0.007600000000000051
289,0.01720000000000002
290,0.009599999999999942
291,0.01319999999999999
292,0.010400000000000076
293,0.01880000000000004
294,0.01100000000000001
295,0.01739999999999997
296,0.016000000000000014
297,0.010599999999999943
298,0.00979999999999999
299,0.014400000000000024
300,0.015199999999999991
301,0.01419999999999999
302,0.016799999999999926
303,0.008600000000000052
304,0.0184
305,0.014200000000000101
306,0.008400000000000074
307,0.020399999999999974
308,0.012799999999999978
309,0.009599999999999942
310,0.014600000000000002
311,0.016199999999999992
312,0.016199999999999992
313,0.02100000000000002
314,0.012399999999999967
315,0.021199999999999997
316,0.010599999999999998
317,0.014799999999999924
318,0.007800000000000001
319,0.013399999999999995
320,0.017000000000000015
321,0.013800000000000034
322,0.011199999999999988
323,0.02200000000000002
324,0.010999999999999954
325,0.010800000000000032
326,0.010399999999999993
327,0.016600000000000004
328,0.019199999999999995
329,0.008400000000000019
330,0.011399999999999966
331,0.0066000000000000225
332,0.02100000000000002
333,0.0126
334,0.01100000000000001
335,0.015000000000000013
336,0.015000000000000013
337,0.014200000000000101
338,0.009000000000000008
339,0.01739999999999997
340,0.009800000000000031
341,0.011199999999999988
342,0.017199999999999993
343,0.012800000000000034
344,0.014599999999999946
345,0.009999999999999981
346,0.006599999999999939
347,0.011800000000000033
348,0.013399999999999967
349,0.008400000000000005
350,0.011400000000000021
351,0.008599999999999997
352,0.01680000000000001
353,0.014600000000000057
354,0.0116
355,0.008000000000000007
356,0.00759999999999994
357,0.006599999999999995
358,0.011400000000000077
359,0.010400000000000076
360,0.011200000000000043
361,0.012999999999999956
362,0.006400000000000017
363,0.013400000000000023
364,0.006000000000000005
365,0.014400000000000024
366,0.0052000000000000934
367,0.010800000000000004
368,0.00739999999999999
369,0.00940000000000002
370,0.007399999999999962
371,0.019800000000000012
372,0.008199999999999985
373,0.0102
374,0.014000000000000012
375,0.0023999999999999994
376,0.011599999999999944
377,0.004200000000000009
378,0.006000000000000005
379,0.010000000000000009
380,0.005600000000000001
381,0.009800000000000003
382,0.009800000000000003
383,0.012800000000000006
384,0.012399999999999967
385,0.013600000000000056
386,0.009199999999999986
387,0.006599999999999939
388,0.00660000000000005
389,0.010600000000000054
390,0.0102
391,0.016199999999999992
392,0.010199999999999987
393,0.015200000000000019
394,0.014200000000000018
395,0.02360000000000001
396,0.009599999999999997
397,0.01200000000000001
398,0.016000000000000014
399,0.01200000000000001
400,0.011200000000000002
401,0.007800000000000029
402,0.006599999999999939
403,0.013599999999999945
404,0.012799999999999978
405,0.0126
406,0.010199999999999987
407,0.017800000000000038
408,0.015600000000000003
409,0.012199999999999989
410,0.012199999999999989
411,0.009800000000000031
412,0.006800000000000028
413,0.008199999999999985
414,0.006599999999999939
415,0.007399999999999962
416,0.008000000000000007
417,0.013000000000000012
418,0.01540000000000008
419,0.009200000000000014
420,0.009600000000000053
421,0.012400000000000078
422,0.017199999999999993
423,0.008399999999999963
424,0.009000000000000008
425,0.0046000000000000485
426,0.009399999999999992
427,0.009199999999999986
428,0.010599999999999943
429,0.006400000000000017
430,0.010400000000000076
431,0.00940000000000002
432,0.010399999999999965
433,0.005400000000000016
434,0.01200000000000001
435,0.01100000000000001
436,0.0116
437,0.016000000000000014
438,0.019000000000000017
439,0.0232
440,0.008599999999999997
441,0.01579999999999998
442,0.01660000000000006
443,0.01419999999999999
444,0.015199999999999991
445,0.005400000000000002
446,0.138
447,0.13880000000000003
448,0.13720000000000002
449,0.132
450,0.14
451,0.1438
452,0.1346
453,0.12000000000000001
454,0.12219999999999999
455,0.092
456,0.07039999999999999
457,0.0406
458,0.03639999999999999
459,0.0262
460,0.023999999999999994
461,0.006599999999999939
462,0.013000000000000012
463,0.016600000000000004
464,0.01660000000000006
465,0.02279999999999993
466,0.02179999999999993
467,0.0242
468,0.02180000000000004
469,0.025800000000000045
470,0.03180000000000005
471,0.033399999999999985
472,0.025000000000000022
473,0.024599999999999955
474,0.018399999999999972
475,0.01859999999999995
476,0.009000000000000008
477,0.010199999999999987
478,0.07820000000000002
479,0.0686
480,0.043800000000000006
481,0.02779999999999999
482,0.09620000000000001
483,0.09019999999999999
484,0.0746
485,0.04620000000000002
486,0.04980000000000001
487,0.030000000000000027
488,0.011800000000000033
489,0.010399999999999965
490,0.009599999999999997
491,0.014599999999999946
492,0.013799999999999923
493,0.018400000000000083
494,0.04420000000000002
495,0.0504
496,0.03160000000000007
497,0.017799999999999996
498,0.118
499,0.12019999999999999
500,0.09620000000000001
501,0.07900000000000001
502,0.12060000000000001
503,0.1162
504,0.0996
505,0.06539999999999999
506,0.033800000000000004
507,0.024800000000000003
508,0.024400000000000005
509,0.010400000000000076
510,0.12000000000000001
511,0.12000000000000001
512,0.06680000000000001
513,0.042200000000000015
514,0.13440000000000002
515,0.1402
516,0.1404
517,0.13920000000000002
518,0.1418
519,0.14220000000000002
520,0.1418
521,0.14320000000000002
522,0.025400000000000006
523,0.14200000000000002
524,0.14159999999999995
525,0.14139999999999997
526,0.1444
527,0.14200000000000002
528,0.1428
529,0.1422
530,0.1418
531,0.1418
532,0.1422
533,0.1418
534,0.1418
535,0.1424
536,0.1418
537,0.1446
538,0.1418
539,0.1418
540,0.142
541,0.1418
542,0.1418
543,0.023399999999999976
544,0.15039999999999998
545,0.1452
546,0.15380000000000005
547,0.13960000000000006
548,0.08220000000000002
549,0.1418
550,0.10839999999999994
551,0.14180000000000004
552,0.14260000000000006
553,0.1422
554,0.14180000000000004
555,0.14200000000000002
556,0.14180000000000004
557,0.14180000000000004
558,0.14180000000000004
559,0.14459999999999995
560,0.1419999999999999
561,0.14180000000000004
562,0.1422
563,0.14180000000000004
564,0.14180000000000004
565,0.14200000000000002
566,0.1202
567,0.14400000000000002
568,0.13540000000000002
569,0.11900000000000002
570,0.14200000000000002
571,0.1424
572,0.1422
573,0.1442
574,0.14380000000000004
575,0.14540000000000008
576,0.14459999999999995
577,0.14200000000000002
578,0.1412
579,0.1432
580,0.1444
581,0.14600000000000002
582,0.14400000000000002
583,0.1464
584,0.1432
585,0.14640000000000003
586,0.1456
587,0.1428
588,0.1428
589,0.14540000000000003
590,0.1418
591,0.1418
592,0.14320000000000002
593,0.1418
594,0.1418
595,0.142
596,0.1418
597,0.1396
598,0.1142
599,0.14180000000000004
600,0.14180000000000004
601,0.14200000000000002
602,0.14220000000000002
603,0.1422
604,0.1418
605,0.1418
606,0.13820000000000002
607,0.038000000000000034
608,0.12680000000000002
609,0.137
610,0.1436
611,0.1418
612,0.1396
613,0.07480000000000003
614,0.14540000000000008
615,0.14300000000000002
616,0.14459999999999995
617,0.14200000000000002
618,0.14560000000000006
619,0.14260000000000006
620,0.14200000000000002
621,0.14239999999999997
622,0.14200000000000002
623,0.142
624,0.14400000000000002
625,0.14400000000000002
626,0.14240000000000008
627,0.14200000000000002
628,0.14180000000000004
629,0.14180000000000004
630,0.07140000000000002
631,0.1352
632,0.12759999999999994
633,0.13779999999999992
634,0.1332
635,0.14200000000000002
636,0.14180000000000004
637,0.14200000000000002
638,0.14779999999999993
639,0.14180000000000004
640,0.14400000000000002
641,0.14180000000000004
642,0.14479999999999993
643,0.14239999999999997
644,0.14160000000000006
645,0.1334
646,0.1459999999999999
647,0.14180000000000004
648,0.14180000000000004
649,0.14180000000000004
650,0.14200000000000002
651,0.14180000000000004
652,0.14180000000000004
653,0.14180000000000004
654,0.12539999999999998
655,0.1454
656,0.144
657,0.14579999999999999
658,0.1432
659,0.14400000000000002
660,0.1412
661,0.09219999999999995
662,0.12980000000000003
663,0.033399999999999985
664,0.11079999999999998
665,0.128
666,0.14220000000000002
667,0.1424
668,0.1418
669,0.142
670,0.1422
671,0.14220000000000002
672,0.1418
673,0.14080000000000004
674,0.14380000000000004
675,0.14180000000000004
676,0.14180000000000004
677,0.14279999999999993
678,0.1424
679,0.1418
680,0.1424
681,0.1424
682,0.08840000000000003
683,0.1339999999999999
684,0.14
685,0.14100000000000001
686,0.14279999999999993
687,0.1424
688,0.14220000000000002
689,0.1422
690,0.1432
691,0.14180000000000004
692,0.14340000000000008
693,0.14200000000000002
694,0.14439999999999997
695,0.14600000000000002
696,0.14640000000000009
697,0.1429999999999999
698,0.14200000000000002
699,0.14259999999999995
700,0.14180000000000004
701,0.1432
702,0.14339999999999997
703,0.1432
704,0.14180000000000004
705,0.14180000000000004
706,0.14239999999999997
707,0.14239999999999997
708,0.14180000000000004
709,0.0935999999999999
710,0.14280000000000004
711,0.1429999999999999
712,0.14639999999999997
713,0.14039999999999997
714,0.142
715,0.1418
716,0.1418
717,0.1418
718,0.1424
719,0.1418
720,0.1418
721,0.1432
722,0.1422
723,0.142
724,0.1418
725,0.14439999999999997
726,0.1424
727,0.1418
728,0.1418
729,0.1418
730,0.1424
731,0.1418
732,0.1422
733,0.1418
734,0.14480000000000004
735,0.06659999999999999
736,0.1464
737,0.1418
738,0.1432
739,0.1418
740,0.1422
741,0.14200000000000002
742,0.142
743,0.1418
744,0.1418
745,0.1418
746,0.14180000000000004
747,0.14180000000000004
748,0.14180000000000004
749,0.1422
750,0.14180000000000004
751,0.1419999999999999
752,0.14180000000000004
753,0.14180000000000004
754,0.14180000000000004
755,0.07500000000000007
756,0.1288
757,0.1418
758,0.1418
759,0.1446
760,0.1418
761,0.1418
762,0.1424
763,0.1422
764,0.142
765,0.1418
766,0.15160000000000007
767,0.14800000000000002
768,0.14260000000000006
769,0.1462
770,0.1432
771,0.14239999999999997
772,0.14200000000000002
773,0.14500000000000002
774,0.14260000000000006
775,0.1418
776,0.14220000000000002
777,0.1418
778,0.1418
779,0.1418
780,0.14179999999999998
781,0.10939999999999997
782,0.1432
783,0.14180000000000004
784,0.14180000000000004
785,0.14180000000000004
786,0.14200000000000002
787,0.14180000000000004
788,0.14180000000000004
789,0.14180000000000004
790,0.14200000000000002
791,0.14180000000000004
792,0.14180000000000004
793,0.14200000000000002
794,0.089
795,0.1064
796,0.10399999999999998
797,0.10599999999999998
798,0.1418
799,0.1434
800,0.1398
801,0.138
802,0.14200000000000002
803,0.1402
804,0.11340000000000006
805,0.06420000000000003
806,0.14700000000000002
807,0.1434
808,0.1436
809,0.1418
810,0.14200000000000002
811,0.1422
812,0.14200000000000002
813,0.1418
814,0.1426
815,0.1434
816,0.142
817,0.142
818,0.14200000000000002
819,0.1448
820,0.04059999999999997
821,0.14180000000000004
822,0.14180000000000004
823,0.14180000000000004
824,0.14180000000000004
825,0.1422
826,0.14279999999999993
827,0.14200000000000002
828,0.14180000000000004
829,0.14180000000000004
830,0.14379999999999998
831,0.1418
832,0.14100000000000001
833,0.10959999999999999
834,0.14200000000000002
835,0.14280000000000004
836,0.14180000000000004
837,0.14180000000000004
838,0.14180000000000004
839,0.14180000000000004
840,0.14180000000000004
841,0.14200000000000002
842,0.14180000000000004
843,0.14180000000000004
844,0.14180000000000004
845,0.1422
846,0.14200000000000002
847,0.14259999999999995
848,0.1436
849,0.2634
850,0.2616
851,0.2298
852,0.2004
853,0.1666
854,0.1578
855,0.15040000000000003
856,0.14800000000000002
857,0.1418
858,0.14200000000000002
859,0.14259999999999995
860,0.14180000000000004
861,0.14560000000000006
862,0.14200000000000002
863,0.11559999999999993
864,0.0382
865,0.031799999999999995
866,0.1418
867,0.1418
868,0.143
869,0.142
870,0.142
871,0.14200000000000002
872,0.1418
873,0.1418
874,0.20939999999999998
875,0.1808
876,0.15419999999999998
877,0.143
878,0.21800000000000003
879,0.14180000000000004
880,0.14180000000000004
881,0.14180000000000004
882,0.15999999999999998
883,0.1432
884,0.1436
885,0.1418
886,0.1418
887,0.1418
888,0.14259999999999998
889,0.1418
890,0.14180000000000004
891,0.14180000000000004
892,0.14180000000000004
893,0.14200000000000002
894,0.14259999999999995
895,0.14180000000000004
896,0.14239999999999997
897,0.14180000000000004
898,0.14180000000000004
