traces_per_group,max_abs_t
10,707.5317985091832
20,922.2423593858921
30,1132.2092526253593
40,1201.116159283277
50,1344.0619146638394
60,1456.6919477008266
70,1550.3423204349833
80,1641.2227302917474
90,1779.543932375715
100,1870.541172309033
110,1957.503458800531
120,2044.4238553116322
130,2182.617514929133
140,2277.762935726468
150,2352.4935334106826
160,2452.6431065343772
170,2512.4946477184817
180,2556.4824510937237
190,2629.52430258647
200,2665.2408603783597
210,2719.8926605969887
220,2813.0774663474067
230,2900.9352136841885
240,2982.340578874147
250,3017.0642143362743
260,3097.6927041593676
270,3138.2421643741504
280,3211.9984203522363
290,3235.3124537895874
300,3277.294659411761
310,3290.311991192695
320,3345.7117073514482
330,3392.4946367644015
340,3440.932254170831
350,3490.0540400853206
360,3551.8122491516374
370,3606.4441351944006
380,3666.7625334807967
390,3705.894632725317
400,3742.5246414680496
410,3778.9757837027723
420,3823.9431427194077
430,3852.7136071177206
440,3873.527619505768
450,3910.5370729080155
460,3912.317146238217
470,3931.249308590522
480,3942.851449125522
490,3975.265737750587
500,4012.013759491976
510,4040.239412596396
520,4051.8404187270435
530,4072.3737838749303
540,4101.701463517542
550,4146.298364159918
560,4164.784796867689
570,4187.856443849508
580,4215.765783311852
590,4254.777048529563
600,4271.671119776411
610,4301.094422012068
620,4324.402146427614
630,4360.890038328671
640,4385.563386764847
650,4370.896169978785
660,4370.756552721198
670,4396.577592862144
680,4424.979927616851
690,4424.891637405316
700,4443.196464719451
710,4453.765664160937
720,4455.349830162022
730,4475.296912959003
740,4488.083386487405
750,4517.543858076498
760,4534.78628705123
770,4543.096321344866
780,4545.404908428757
790,4541.071467695149
800,4527.086716399327
810,4538.925116603315
820,4531.112903509285
830,4554.424830662431
840,4575.008138358317
850,4595.3530267374035
860,4601.245334495597
870,4620.290784382048
880,4605.385047528471
890,4611.72011893783
900,4619.182867489176
910,4613.963875128412
920,4614.850823886668
930,4634.488280932927
940,4622.634757869396
950,4635.060486678814
960,4626.769281415945
970,4630.908184191451
980,4619.40349258837
990,4631.261458217622
1000,4630.000251631218
