traces_per_group,max_D
10,0.9
60,0.5666666666666667
111,0.5855855855855856
161,0.5403726708074534
212,0.5377358490566038
262,0.5152671755725191
312,0.49358974358974356
363,0.5013774104683196
413,0.4963680387409201
464,0.5064655172413793
514,0.5116731517509727
564,0.5248226950354611
615,0.51869918699187
665,0.4992481203007519
716,0.5139664804469274
766,0.5182767624020888
816,0.5098039215686274
867,0.5155709342560553
917,0.5158124318429662
968,0.5216942148760331
1018,0.5157170923379175
1068,0.5102996254681649
1119,0.5067024128686326
1169,0.5029940119760479
1220,0.4967213114754099
1270,0.49685039370078743
1321,0.48826646479939434
1371,0.48285922684172145
1421,0.4792399718508093
1472,0.48233695652173914
1522,0.4829172141918528
1573,0.4831532104259377
1623,0.4849044978434997
1673,0.48236700537955773
1724,0.48027842227378187
1774,0.48027057497181513
1825,0.4816438356164384
1875,0.4842666666666666
1925,0.4857142857142857
1976,0.4838056680161944
2026,0.4827245804540967
2077,0.48098218584496877
2127,0.48236953455571224
2177,0.482315112540193
2228,0.4838420107719928
2278,0.48024582967515367
2329,0.4800343495062258
2379,0.4800336275746112
2429,0.48291477974475094
2480,0.48145161290322586
2530,0.48221343873517786
2581,0.4835335141418055
2631,0.4811858608893957
2681,0.47929876911600156
2732,0.4787701317715959
2782,0.4827462257368799
2833,0.4835863042710907
2883,0.4862989941033646
2933,0.4872144561882032
2984,0.486260053619303
3034,0.4845088991430455
3085,0.4862236628849271
3135,0.4880382775119617
3185,0.4872841444270015
3236,0.4867119901112485
3286,0.4884357881923311
3337,0.4884626910398561
3387,0.4889282550930027
3437,0.48821646784986905
3488,0.4893922018348624
3538,0.4867156585641606
3589,0.4864864864864865
3639,0.48447375652651825
3689,0.4846841962591488
3740,0.4842245989304813
3790,0.4852242744063325
3841,0.4839885446498308
3891,0.4811102544333077
3942,0.4817351598173516
3992,0.4812124248496994
4042,0.4811974270163286
4093,0.48179819203518204
4143,0.4827419744146753
4194,0.48378636146876486
4244,0.48444863336475025
4294,0.48369818351187704
4345,0.4842347525891829
4395,0.48373151308304896
4446,0.4829059829059829
4496,0.48331850533807835
4546,0.48218213814342276
4597,0.48270611268218405
4647,0.48074026253496877
4698,0.48084291187739464
4748,0.4793597304128054
4798,0.4795748228428512
4849,0.47886162095277385
4899,0.47846499285568483
4950,0.4795959595959596
5000,0.47959999999999997
