traces_per_group,max_abs_t
10,15.67226882292534
60,16.424760015057057
111,20.8327652569173
161,24.93256183957866
212,28.90972910552794
262,34.58297363046795
312,37.29228276625291
363,39.23267064436526
413,41.364214126497366
464,43.69573717634128
514,45.19599999744094
564,48.96637359406038
615,51.72790488259682
665,54.795977821141605
716,56.389630946227854
766,58.27269200046708
816,59.51327553666722
867,60.75238574004211
917,62.609934847088844
968,64.17767604976325
1018,65.0152394685581
1068,67.61980162089723
1119,69.8157421356005
1169,72.7956589947447
1220,73.58368940579179
1270,75.60322407891306
1321,76.88996850437361
1371,78.61949949122848
1421,79.50300998650332
1472,80.72526069387621
1522,81.62675061026097
1573,83.55918707377874
1623,84.23441649686661
1673,85.55666588630967
1724,86.92354561088584
1774,87.83462819431955
1825,89.48422377733674
1875,91.27201837129864
1925,92.09075168764693
1976,93.98702978699876
2026,94.92658781474336
2077,95.80276423929584
2127,97.40211746748088
2177,98.95755840646555
2228,100.69124739264981
2278,101.12461718792869
2329,102.26617936808832
2379,103.15202991940704
2429,104.14710359339776
2480,105.00296351760188
2530,105.87144840890858
2581,107.19043836813357
2631,107.98582452839852
2681,109.10329872902123
2732,110.35479000391592
2782,110.41201880330186
2833,111.25365682518854
2883,112.84926738971743
2933,113.47958784903442
2984,113.57156933186407
3034,114.79023349398811
3085,115.62769507010583
3135,116.8019961907177
3185,117.95524933623089
3236,118.70058485502426
3286,119.58253247235027
3337,119.8002441061465
3387,120.6813689919129
3437,121.32478832043233
3488,122.16324542076396
3538,122.9195853338764
3589,124.05514936134827
3639,124.7015742710159
3689,125.77779544866388
3740,126.69197697762796
3790,127.29785499413966
3841,128.36411929890306
3891,129.17126834090215
3942,129.5723176703119
3992,130.14058656654848
4042,130.9299013109214
4093,131.8071071731438
4143,132.92798046947624
4194,133.4513619240552
4244,134.0319706720819
4294,134.07768060007362
4345,134.96963346375398
4395,136.15392116650443
4446,136.9665600816891
4496,138.0336770524101
4546,138.92678849877066
4597,139.89122067425004
4647,140.6123558580952
4698,141.51934612700788
4748,142.6344688478376
4798,143.65716026456366
4849,144.08868043423823
4899,144.78579561186143
4950,145.6004946380155
5000,146.1452844144833
