"sample","ks"
1,0.0125166160337408
2,0.0197809283979478
3,0.0154153030721282
4,0.0126512507104245
5,0.0234392522052042
6,0.00785069577714952
7,0.0184005351422225
8,0.0117105225450216
9,0.0128876982687483
10,0.0144403651253242
11,0.00919034755096744
12,0.0189711608276938
13,0.0105359595014974
14,0.00827337844615582
15,0.0209994987736324
16,0.0161453022499504
17,0.0158693379035642
18,0.0165259370969481
19,0.020564324227408
20,0.0283862805223303
21,0.0275379759190899
22,0.013354878147453
23,0.0161633460725987
24,0.00954044669809889
25,0.0143713740387276
26,0.0122272617013169
27,0.0135737717606664
28,0.0172943916615005
29,0.0260557697817245
30,0.0209425913329723
31,0.0174682981874776
32,0.018856937715092
33,0.0281493430864685
34,0.022964479224661
35,0.0307278951537967
36,0.02302408099178
37,0.016852195537232
38,0.0114855871088399
39,0.0142440058788571
40,0.0173940817404761
41,0.00663481972792366
42,0.00828186965681383
43,0.0298525656397119
44,0.0234448857968908
45,0.0292278901325519
46,0.011714849796607
47,0.0156852255955462
48,0.0159844591249857
49,0.030107301959453
50,0.0176803335151596
51,0.0185781973959907
52,0.0180679082939452
53,0.0194469952095692
54,0.0146571359358731
55,0.00952011678027334
56,0.0264139519082322
57,0.0102190903806912
58,0.0150934535296861
59,0.0261555415069564
60,0.0240063671016535
61,0.0210563245680362
62,0.0197295729027179
63,0.0199418531691689
64,0.0224140201645025
65,0.0280738202993658
66,0.0179518073174478
67,0.00969916702039909
68,0.0131390054457237
69,0.0209569610740859
70,0.0212185556793585
71,0.0253665120858096
72,0.0117202384495246
73,0.0173036993347218
74,0.0154809466622154
75,0.0150941066997367
76,0.0152636859741284
77,0.0124680365112261
78,0.0149049323238264
79,0.00801823389513307
80,0.024169904553077
81,0.0136307608475829
82,0.0182964361654052
83,0.010073596751916
84,0.0219762329380757
85,0.0187191188344116
86,0.0134767760081496
87,0.0163190454834149
88,0.0229551715514397
89,0.0146213748756018
90,0.0241015666365311
91,0.0255475218360872
92,0.019679931978871
93,0.0155279749058598
94,0.0178468102318109
95,0.0159019964060951
96,0.00844254948926593
97,0.0160950081560528
98,0.0250768311683604
99,0.0199286264756438
100,0.0156858787655968
101,0.022241011747345
102,0.0109500693135894
103,0.0165551664567133
104,0.0191659687952907
105,0.0114922821018588
106,0.034395934865556
107,0.0171484898014437
108,0.0354908928091611
109,0.0239410500965916
110,0.0188804518369142
111,0.017355136476208
112,0.0139851872462996
113,0.0177439359488385
114,0.0250022064900772
115,0.0180483131924266
116,0.0209326304897004
117,0.0202568444260795
118,0.0203193038121699
119,0.017858812231491
120,0.0253278934065668
121,0.0218848707772454
122,0.0130410299381309
123,0.0244648924771874
124,0.0176690663317864
125,0.0221705510281346
126,0.0247368561570136
127,0.0172661420568113
128,0.0297677351793879
129,0.0214987656310737
130,0.0225359996714555
131,0.0215028479438901
132,0.0338617234104066
133,0.0195296212209724
134,0.0187345499768574
135,0.0215782074384802
136,0.0211529120892714
137,0.0268744367939181
138,0.0220864553841175
139,0.0201364978442531
140,0.018641881475926
141,0.0321784225437071
142,0.0191442508911077
143,0.0367497147892151
144,0.0247767811763577
145,0.0144921288518356
146,0.0256139002424812
147,0.0324355266048817
148,0.0258974576907059
149,0.0209269968980138
150,0.0118855721185872
