"traces_per_group","max_abs_t"
10,6.74072386066516
24,5.91246643717974
39,7.81971084983103
53,8.04090399185788
67,8.42920969896877
82,9.58313306582428
96,10.3142286706023
110,10.4924289017993
125,11.659992477015
139,11.9267928037779
153,12.5185324713901
168,12.8429759872574
182,13.3767516876861
196,14.0105464770472
211,14.5782018154329
225,15.0908538095451
239,14.2423470844033
254,14.3192310610727
268,14.6062573588772
282,14.9183955402515
297,15.3943727615828
311,15.638246586427
325,16.0064409273091
340,16.4346445123442
354,16.8566578200214
368,17.0943156373713
383,17.1940318296329
397,17.0537885440969
411,17.4425790392202
426,18.0507085526317
440,18.4094195751506
454,18.5833761573161
469,18.7598348798106
483,19.2385067026739
497,19.6886909776829
512,20.0851885055817
526,20.5596398251535
540,20.7883655505479
555,21.1528271335091
569,21.4821976011354
583,21.8268294315784
598,21.8201359530663
612,22.2307246732302
626,22.2834500816341
641,22.6891342174545
655,22.7255307857524
669,22.9299568990292
684,23.0830168185718
698,23.0415047890748
712,23.2861175069652
727,23.5329880853141
741,23.9401252391608
755,24.4091922174109
770,24.6856993891091
784,25.0224336484741
798,25.2099237800032
813,25.3786855444887
827,25.4987586418384
841,25.7500318245217
856,26.1894349629924
870,26.4541555132435
884,26.6132776786472
899,26.9710479989385
913,27.276288749213
927,27.2820407766563
942,27.5462319250895
956,27.5164372287447
970,27.7727057374068
985,28.0593069402045
999,28.4009400667995
1013,28.4529364935597
1028,28.6600711128174
1042,28.8154034822335
1056,28.8867696841182
1071,29.091375473205
1085,29.3854760573906
1099,29.5568598919723
1114,29.8575890503057
1128,30.143086210141
1142,30.2779464121328
1157,30.5059905090724
1171,30.626304631733
1185,30.7922112189308
1200,30.9789589897518
1214,31.1148576669319
1228,31.2776343148605
1243,31.4596218980284
1257,31.6983259309761
1271,31.9378778823651
1286,31.7828489600603
1300,32.0709047292131
1314,32.4094133057914
1329,32.5496343944956
1343,32.7653358431374
1357,32.7263749379413
1372,33.0054305117023
1386,33.3681004325702
1400,33.8014411187797
1415,34.1057102293473
1429,34.4252482279234
