"sample","ks"
1,0.164837496226061
2,0.13233266150419
3,0.207513606580118
4,0.200528759455247
5,0.201022431477507
6,0.188864227954076
7,0.161667387455019
8,0.205612357304306
9,0.191854819626115
10,0.156791866243441
11,0.163976630137657
12,0.247921273592219
13,0.16211210026846
14,0.124307431191912
15,0.182654568302176
16,0.180700279883477
17,0.208623348646686
18,1
19,1
20,1
21,1
22,1
23,0.961513981934052
24,0.840250181557066
25,0.53888177167057
26,0.612145147734413
27,0.250042839307717
28,0.126233160072133
29,0.0434553777610954
30,0.101859633948315
31,0.0502688676550986
32,0.212234090297101
33,0.258333265334432
34,0.133911595988609
35,0.306092973537548
36,0.364505389592904
37,0.393701397785412
38,0.194421098155054
39,0.380160096612839
40,0.346863754681724
41,0.405210891791989
42,0.296994720565316
43,0.415129211511942
44,0.398303563414415
45,0.363905639284869
46,0.252115445814396
47,0.424468180594202
48,0.382644776460412
49,0.380853685404444
50,0.335354260675147
51,0.376076082610505
52,0.390645527168281
53,0.331151928584834
54,0.429266183058482
55,0.310890976001828
56,0.32601121165882
57,0.287916867263425
58,0.413452358609885
59,0.332894060431983
60,0.330058506254539
61,0.279773318863167
62,0.361416879503227
63,0.318438854028119
64,0.300262747753996
65,0.270928021803168
66,0.377259263490302
67,0.297394554104006
68,0.303155421008396
69,0.278133185367724
70,0.343522288679815
71,0.304966911734706
72,0.3073332734943
73,0.248949416977422
74,0.372518380102977
75,0.331221287463995
76,0.295668741993129
77,0.26118513924815
78,0.342796060415664
79,0.341804636437075
80,0.303249259491967
81,0.240773229104618
82,0.14112899935537
83,0.111206762898712
84,0.166261393215886
85,0.160720842751181
86,0.127555058710251
87,0.156224755407953
88,0.13205114605348
89,0.140096776036099
90,0.233249830682736
91,0.204004863281409
92,0.216138587200431
93,0.212217770560828
94,0.249687885043778
95,0.232715359319793
96,0.219341335444019
97,0.219112859136196
98,0.354525870861927
99,0.254934680255567
100,0.233457907320218
101,0.23161785705543
102,0.344774828438772
103,0.251425936956859
104,0.255057078277615
105,0.240144919258105
106,0.272743592463546
107,0.27868397646694
108,0.248329266999045
109,0.254751083222495
110,0.267713033757374
111,0.211960734714527
112,0.223364150435329
113,0.214510693507193
114,0.239679806774322
115,0.222405365929287
116,0.233368148770716
117,0.237325684816933
118,0.235669231585218
119,0.281099297435353
120,0.221601618917838
121,0.27527315158587
122,0.197138334244519
123,0.258920775840262
124,0.242095127742736
125,0.210438919307064
126,0.135429331462004
127,0.162173299279484
128,0.237847916377671
129,0.229398372922294
130,0.140708766146339
131,0.184380380413052
132,0.21437605568294
133,0.234404452024055
134,0.198925345366419
135,0.246056743723021
136,0.186448906985663
137,0.201793539016409
138,0.167469053700092
139,0.224086298765412
140,0.184364060676779
141,0.225085882612137
142,0.168264640843404
143,0.2028747215445
144,0.192601447560607
145,0.213874223792543
146,0.1454578094018
147,0.18292792388475
148,0.176477548122822
149,0.229039338724286
150,0.165025173193201
151,0.150174213184715
152,0.204302698468393
153,0.16159394864179
154,0.240214278137265
155,0.186489706326346
156,0.207109693107359
157,0.17714257737595
158,0.243176310270826
159,0.228508947295412
160,0.178358397728293
161,0.141084120080619
162,0.204033422819887
163,0.187868724041419
164,0.165535164951734
165,0.174808855088902
