sample,D
0,0.04899999999999993
1,0.030000000000000027
2,0.017999999999999905
3,0.025999999999999968
4,0.021999999999999964
5,0.04100000000000001
6,0.013999999999999985
7,0.026000000000000023
8,0.02200000000000002
9,0.03200000000000003
10,0.031
11,0.027999999999999914
12,0.03700000000000003
13,0.03699999999999998
14,0.033999999999999975
15,0.01599999999999996
16,0.012999999999999998
17,0.013000000000000012
18,0.031000000000000028
19,0.019000000000000017
20,0.01799999999999996
21,0.017000000000000015
22,0.02300000000000002
23,0.016
24,0.02300000000000002
25,0.019000000000000017
26,0.02100000000000002
27,0.032
28,0.025000000000000022
29,0.026000000000000023
30,0.017000000000000015
31,0.016000000000000014
32,0.02300000000000002
33,0.017000000000000015
34,0.031000000000000028
35,0.019000000000000017
36,0.030999999999999917
37,0.05300000000000005
38,0.02200000000000002
39,0.010000000000000009
40,0.04300000000000004
41,0.020000000000000018
42,0.03
43,0.013000000000000012
44,0.017999999999999988
45,0.549
46,0.43199999999999994
47,0.359
48,0.254
49,0.196
50,0.133
51,0.08599999999999997
52,0.08900000000000002
53,0.09999999999999998
54,0.07
55,0.03900000000000001
56,0.034
57,0.03599999999999992
58,0.014000000000000012
59,0.014000000000000012
60,0.026999999999999913
61,0.031000000000000028
62,0.027000000000000024
63,0.027000000000000024
64,0.02999999999999997
65,0.031000000000000028
66,0.040999999999999925
67,0.025000000000000022
68,0.02200000000000002
69,0.35
70,0.25599999999999995
71,0.21400000000000008
72,0.10399999999999998
73,0.11300000000000004
74,0.04799999999999993
75,0.04600000000000004
76,0.025000000000000022
77,0.019000000000000017
78,0.03300000000000003
79,0.033999999999999975
80,0.04500000000000004
81,0.034999999999999976
82,0.031000000000000028
83,0.026000000000000023
84,0.03799999999999992
85,0.031000000000000028
86,0.03799999999999992
87,0.028999999999999915
88,0.04500000000000004
89,0.034999999999999976
90,0.05300000000000002
91,0.030000000000000027
92,0.05399999999999999
93,0.038000000000000034
94,0.05399999999999999
95,0.04899999999999993
96,0.04600000000000004
97,0.04799999999999993
98,0.08100000000000007
99,0.04499999999999993
100,0.03600000000000003
101,0.05800000000000005
102,0.04700000000000004
103,0.03700000000000003
104,0.026000000000000023
105,0.051000000000000045
106,0.03699999999999998
107,0.02200000000000002
108,0.016000000000000014
109,0.02200000000000002
110,0.030000000000000027
111,0.03599999999999992
112,0.038999999999999924
113,0.016000000000000014
114,0.044999999999999984
115,0.035
116,0.038000000000000034
117,0.04700000000000004
118,0.03400000000000003
119,0.03700000000000003
120,0.04299999999999998
121,0.10800000000000004
122,0.066
123,0.07099999999999995
124,0.05499999999999994
125,0.07299999999999995
126,0.039000000000000035
127,0.04299999999999993
128,0.057999999999999996
129,0.02099999999999999
130,0.024999999999999994
131,0.016000000000000014
132,0.027999999999999914
133,0.054999999999999966
134,0.052000000000000046
135,0.030000000000000027
136,0.04300000000000004
137,0.025000000000000022
138,0.05399999999999999
139,0.028000000000000025
140,0.030000000000000027
141,0.03600000000000003
142,0.05300000000000002
143,0.04500000000000004
144,0.034999999999999976
145,0.046999999999999986
146,0.04500000000000001
147,0.034
148,0.043999999999999984
149,0.27799999999999997
150,0.21499999999999997
151,0.14100000000000001
152,0.10499999999999998
153,0.16300000000000003
154,0.123
155,0.06999999999999995
156,0.056999999999999995
157,0.015000000000000013
158,0.03299999999999999
159,0.03200000000000003
160,0.034999999999999976
161,0.05900000000000005
162,0.07499999999999996
163,0.032999999999999974
164,0.050000000000000044
165,0.06400000000000006
166,0.05400000000000005
167,0.07199999999999995
168,0.061
169,0.05300000000000005
170,0.05900000000000005
171,0.044999999999999984
172,0.03600000000000003
173,0.040000000000000036
174,0.040000000000000036
175,0.07499999999999996
176,0.04999999999999993
177,0.038999999999999924
178,0.03200000000000003
179,0.06
180,0.038000000000000034
181,0.08099999999999996
182,0.027000000000000024
183,0.04200000000000004
184,0.04599999999999993
185,0.030000000000000027
186,0.05499999999999999
187,0.014999999999999993
188,0.065
189,0.029000000000000026
190,0.07300000000000001
191,0.052000000000000046
192,0.04800000000000004
193,0.050000000000000044
194,0.06
195,0.04400000000000001
196,0.04300000000000004
