traces_per_group,max_D
10,1.0
20,0.8
30,0.7333333333333334
40,0.7
50,0.62
60,0.5666666666666667
70,0.6142857142857143
80,0.6125
90,0.6444444444444444
100,0.66
110,0.6545454545454545
120,0.6666666666666667
130,0.6692307692307693
140,0.6714285714285715
150,0.6866666666666666
160,0.675
170,0.6705882352941176
180,0.6499999999999999
190,0.6368421052631579
200,0.615
210,0.5952380952380951
220,0.5772727272727273
230,0.5652173913043479
240,0.5541666666666667
250,0.536
260,0.5423076923076924
270,0.5407407407407407
280,0.5357142857142857
290,0.5275862068965518
300,0.5366666666666666
310,0.5419354838709677
320,0.553125
330,0.5636363636363637
340,0.5647058823529412
350,0.5714285714285714
360,0.5694444444444444
370,0.5702702702702703
380,0.5710526315789474
390,0.5615384615384615
400,0.5599999999999999
410,0.5658536585365854
420,0.569047619047619
430,0.5651162790697675
440,0.5613636363636363
450,0.5533333333333333
460,0.5456521739130434
470,0.5382978723404256
480,0.5333333333333333
490,0.5285714285714286
500,0.53
510,0.5372549019607844
520,0.5384615384615385
530,0.5358490566037736
540,0.5407407407407407
550,0.5418181818181818
560,0.5446428571428572
570,0.5385964912280702
580,0.5379310344827586
590,0.5406779661016949
600,0.54
610,0.5442622950819672
620,0.5451612903225806
630,0.5396825396825398
640,0.5421875
650,0.5461538461538462
660,0.5454545454545454
670,0.5477611940298508
680,0.5470588235294118
690,0.5420289855072464
700,0.5385714285714286
710,0.532394366197183
720,0.5263888888888889
730,0.5232876712328767
740,0.518918918918919
750,0.5173333333333333
760,0.5171052631578947
770,0.5194805194805195
780,0.5179487179487179
790,0.5164556962025316
800,0.5175000000000001
810,0.5185185185185185
820,0.5219512195121951
830,0.5265060240963855
840,0.530952380952381
850,0.5329411764705881
860,0.5337209302325581
870,0.535632183908046
880,0.5375
890,0.5415730337078651
900,0.5433333333333333
910,0.5450549450549451
920,0.5467391304347826
930,0.5505376344086022
940,0.548936170212766
950,0.5494736842105263
960,0.5499999999999999
970,0.5463917525773196
980,0.5459183673469388
990,0.5474747474747476
1000,0.549
