sample,t_value
1,-8.254481791141249
2,-5.747108729005355
3,-7.5805904176253875
4,-6.936163449965855
5,-7.463516461133263
6,-9.332325392015377
7,-7.664038571919432
8,-8.724978155927088
9,-8.372000872670926
10,-6.656420535953254
11,-6.696997604084264
12,-6.123488122634222
13,-7.78555902850177
14,-5.132534095476449
15,-6.705617030063093
16,-7.03853792608113
17,-9.972518895109268
18,-5.523865383849658
19,-6.570604323876973
20,-6.229473436506892
21,-9.027765694990078
22,-5.865177651986237
23,-8.794573769698927
24,-6.942808790269682
25,-7.0379723425268415
26,-5.759695685850661
27,-6.430467974007731
28,-6.795789503927224
29,-8.293581495347262
30,131.75408241447752
31,137.81200849531098
32,128.33022798812982
33,126.65503738782411
34,106.18623966973878
35,89.6139493653218
36,51.835524189645255
37,42.60814650003089
38,28.715763460130763
39,12.265992794317349
40,3.942485457521236
41,-2.5280831889949447
42,1.49351640413787
43,-6.680654916765336
44,-9.15559560079898
45,-12.920588480115489
46,-13.03930790546051
47,-17.747233177522347
48,-15.40391023361852
49,-21.91135297261597
50,-14.931507551720175
51,-19.4225716807152
52,-17.659791911072023
53,-19.96588515905469
54,-20.792154295678177
55,-15.552133109423382
56,-17.556119172708105
57,-21.420449925255955
58,-14.098266408919713
59,-17.86124757943244
60,-18.17885779651128
61,-19.552922538884676
62,-24.21438576084559
63,-19.076672329747957
64,-19.002251721490595
65,-18.901078471382288
66,-20.37200078106857
67,-17.80412909788022
68,-17.796731342921973
69,-18.648516074797005
70,-19.65685101417112
71,-15.199488149800985
72,-15.846944516384314
73,-19.29214167874371
74,-20.24290640738434
75,-17.18389135925199
76,-15.078400689704148
77,-19.436176793389354
78,-15.841801541439057
79,-15.954421831146993
80,-18.356217326111427
81,-15.459858773183937
82,-17.645773118197205
83,-17.689149213987353
84,-14.373734250128463
85,-13.612511734804082
86,-19.016426657466628
87,-16.431767133143772
88,-18.120999859555177
89,-16.767865463084146
90,-15.449573076220032
91,-13.841714226145081
92,-16.68447685671242
93,-14.114379293875228
94,-15.619426563831842
95,-17.607818811319973
96,-15.868678785298204
97,-17.744579799640963
98,-14.917126944429
99,-17.05860287451223
100,-12.461130072166752
101,-15.046333908001062
102,-16.56936651053797
103,-15.889924184636369
104,-13.268042616494855
105,-13.499888150917524
106,-16.151790347928767
107,-14.295150967156363
108,-15.20883956389101
109,-13.361441962770456
110,-15.297751099447545
111,-13.326320691605558
112,-12.314377094076407
113,-13.262055530331214
114,-13.175280082242173
115,-11.63343731207181
116,-14.083464105249261
117,-11.88873275906155
118,-13.607657560828967
119,-11.464714202282998
120,-12.68834148205585
121,-13.77314171947257
122,-10.949877284200776
123,-13.107678173443183
124,-9.802298314393688
125,-12.702853533157064
126,-13.157306493853925
127,-12.112012941734804
128,-11.37056929522616
129,-11.733491090068663
130,-12.341603547619467
131,-11.826554237824437
