traces_per_group,max_D
10,0.8
20,0.55
30,0.5333333333333333
40,0.45
50,0.42000000000000004
60,0.45
70,0.41428571428571426
80,0.32500000000000007
90,0.3111111111111111
100,0.28
110,0.28181818181818186
120,0.29166666666666674
130,0.2923076923076924
140,0.30714285714285716
150,0.32000000000000006
160,0.33125000000000004
170,0.3588235294117647
180,0.37777777777777777
190,0.3894736842105263
200,0.395
210,0.41904761904761906
220,0.42272727272727273
230,0.4304347826086957
240,0.4125
250,0.396
260,0.38076923076923075
270,0.37037037037037046
280,0.3642857142857142
290,0.3517241379310345
300,0.34333333333333327
310,0.33225806451612905
320,0.321875
330,0.3151515151515152
340,0.3088235294117647
350,0.30000000000000004
360,0.2833333333333333
370,0.2540540540540541
380,0.231578947368421
390,0.21282051282051279
400,0.1925
410,0.17560975609756102
420,0.17619047619047612
430,0.17209302325581394
440,0.1681818181818182
450,0.16666666666666663
460,0.1630434782608695
470,0.16170212765957453
480,0.16666666666666663
490,0.1673469387755102
500,0.16600000000000004
510,0.16274509803921566
520,0.16346153846153844
530,0.1622641509433963
540,0.1592592592592592
550,0.1581818181818182
560,0.15535714285714286
570,0.1596491228070176
580,0.1586206896551724
590,0.15762711864406775
600,0.15500000000000003
610,0.15573770491803274
620,0.1548387096774193
630,0.1523809523809524
640,0.15000000000000002
650,0.1461538461538462
660,0.1454545454545455
670,0.14477611940298507
680,0.14264705882352946
690,0.14347826086956517
700,0.14142857142857146
710,0.1422535211267606
720,0.1430555555555556
730,0.14931506849315068
740,0.1567567567567567
750,0.15733333333333333
760,0.15657894736842115
770,0.15454545454545454
780,0.1512820512820513
790,0.14810126582278482
800,0.14749999999999996
810,0.1469135802469136
820,0.14878048780487796
830,0.14819277108433737
840,0.14761904761904765
850,0.1470588235294118
860,0.14534883720930236
870,0.1448275862068965
880,0.14204545454545456
890,0.14269662921348317
900,0.14444444444444446
910,0.14615384615384613
920,0.14565217391304344
930,0.14731182795698924
940,0.1468085106382979
950,0.14421052631578946
960,0.14270833333333335
970,0.1443298969072165
980,0.14081632653061227
990,0.14242424242424243
1000,0.13999999999999999
