sample,D
1,0.14599999999999996
2,0.132
3,0.135
4,0.1489999999999999
5,0.14499999999999996
6,0.18499999999999994
7,0.11299999999999999
8,0.126
9,0.15200000000000002
10,0.15999999999999998
11,0.13599999999999995
12,0.13099999999999995
13,0.16600000000000004
14,0.14799999999999996
15,0.10999999999999993
16,0.09899999999999998
17,0.154
18,0.139
19,0.123
20,0.09799999999999998
21,0.15299999999999997
22,0.14900000000000002
23,0.151
24,0.128
25,0.15800000000000003
26,0.128
27,0.11699999999999999
28,0.11599999999999999
29,0.10999999999999999
30,1.0
31,1.0
32,0.999
33,0.998
34,0.995
35,0.97
36,0.8530000000000001
37,0.596
38,0.535
39,0.244
40,0.10499999999999998
41,0.039000000000000035
42,0.03199999999999997
43,0.11499999999999994
44,0.18799999999999994
45,0.279
46,0.27299999999999996
47,0.299
48,0.31599999999999995
49,0.343
50,0.296
51,0.32999999999999996
52,0.317
53,0.36500000000000005
54,0.315
55,0.318
56,0.32899999999999996
57,0.356
58,0.335
59,0.344
60,0.32999999999999996
61,0.362
62,0.356
63,0.35900000000000004
64,0.30500000000000005
65,0.356
66,0.34299999999999997
67,0.33699999999999997
68,0.32899999999999996
69,0.34900000000000003
70,0.347
71,0.336
72,0.348
73,0.33799999999999997
74,0.34
75,0.31299999999999994
76,0.296
77,0.31100000000000005
78,0.32800000000000007
79,0.31
80,0.306
81,0.33
82,0.35000000000000003
83,0.312
84,0.276
85,0.289
86,0.31099999999999994
87,0.30700000000000005
88,0.297
89,0.32299999999999995
90,0.313
91,0.271
92,0.25
93,0.296
94,0.2929999999999999
95,0.2730000000000001
96,0.28099999999999997
97,0.28500000000000003
98,0.34
99,0.27699999999999997
100,0.254
101,0.262
102,0.27799999999999997
103,0.23299999999999998
104,0.24999999999999994
105,0.245
106,0.29800000000000004
107,0.293
108,0.22099999999999997
109,0.26
110,0.276
111,0.26599999999999996
112,0.20500000000000002
113,0.26099999999999995
114,0.27599999999999997
115,0.245
116,0.24099999999999996
117,0.24900000000000005
118,0.26
119,0.25000000000000006
120,0.22999999999999993
121,0.236
122,0.26999999999999996
123,0.21700000000000003
124,0.22299999999999998
125,0.22999999999999998
126,0.26200000000000007
127,0.239
128,0.196
129,0.242
130,0.25899999999999995
131,0.23099999999999998
132,0.22199999999999998
133,0.255
134,0.245
135,0.22800000000000004
136,0.203
137,0.24599999999999994
138,0.21599999999999997
139,0.20899999999999996
140,0.20800000000000002
141,0.21299999999999997
142,0.199
143,0.22799999999999998
144,0.19799999999999995
145,0.22000000000000008
146,0.20400000000000007
147,0.17100000000000004
148,0.18300000000000005
149,0.19200000000000006
150,0.16099999999999998
