traces_per_group,max_D
10,0.8
20,0.7
30,0.7333333333333334
40,0.725
50,0.7
60,0.6666666666666666
70,0.6285714285714286
80,0.6125
90,0.6222222222222222
100,0.62
110,0.6181818181818182
120,0.6333333333333334
130,0.6230769230769231
140,0.6285714285714286
150,0.6333333333333333
160,0.63125
170,0.6176470588235294
180,0.6
190,0.5894736842105264
200,0.58
210,0.5714285714285714
220,0.5636363636363637
230,0.5478260869565217
240,0.5416666666666666
250,0.524
260,0.5192307692307692
270,0.5037037037037038
280,0.4964285714285714
290,0.496551724137931
300,0.4966666666666667
310,0.49999999999999994
320,0.5062500000000001
330,0.5151515151515151
340,0.5205882352941177
350,0.5228571428571429
360,0.5305555555555557
370,0.5243243243243243
380,0.5342105263157895
390,0.535897435897436
400,0.5375000000000001
410,0.5365853658536586
420,0.5428571428571429
430,0.5348837209302326
440,0.5318181818181817
450,0.5311111111111111
460,0.5260869565217391
470,0.5191489361702127
480,0.5208333333333333
490,0.5183673469387755
500,0.522
510,0.5274509803921569
520,0.5288461538461537
530,0.5264150943396226
540,0.5277777777777777
550,0.5254545454545455
560,0.530357142857143
570,0.5280701754385966
580,0.5327586206896551
590,0.535593220338983
600,0.5349999999999999
610,0.5377049180327869
620,0.5403225806451614
630,0.5428571428571428
640,0.5453125000000001
650,0.5476923076923077
660,0.546969696969697
670,0.5388059701492538
680,0.5308823529411764
690,0.5231884057971015
700,0.5157142857142857
710,0.5084507042253521
720,0.5013888888888889
730,0.49452054794520545
740,0.48918918918918924
750,0.48266666666666663
760,0.47631578947368425
770,0.4701298701298701
780,0.46410256410256406
790,0.45822784810126577
800,0.4525
810,0.4469135802469136
820,0.4414634146341463
830,0.43614457831325304
840,0.430952380952381
850,0.42588235294117643
860,0.4209302325581395
870,0.41609195402298854
880,0.4125
890,0.4089887640449438
900,0.4066666666666667
910,0.40219780219780227
920,0.4
930,0.3967741935483871
940,0.39574468085106385
950,0.39684210526315794
960,0.396875
970,0.3969072164948454
980,0.39489795918367343
990,0.39595959595959596
1000,0.39499999999999996
