sample,D
0,0.025000000000000022
1,0.02199999999999991
2,0.015000000000000013
3,0.02200000000000002
4,0.03899999999999998
5,0.04899999999999993
6,0.039999999999999925
7,0.027000000000000024
8,0.01799999999999996
9,0.03200000000000003
10,0.01100000000000001
11,0.015999999999999986
12,0.02100000000000002
13,0.014000000000000012
14,0.01699999999999996
15,0.017000000000000015
16,0.04500000000000004
17,0.027000000000000024
18,0.030999999999999917
19,0.02399999999999991
20,0.052000000000000046
21,0.02100000000000002
22,0.03600000000000003
23,0.012999999999999956
24,0.014000000000000012
25,0.041999999999999926
26,0.01899999999999999
27,0.028000000000000025
28,0.016000000000000014
29,0.02300000000000002
30,0.03199999999999997
31,0.030000000000000027
32,0.027000000000000024
33,0.027000000000000024
34,0.013999999999999957
35,0.010000000000000009
36,0.024999999999999967
37,0.026000000000000023
38,0.008000000000000007
39,0.010000000000000009
40,0.03200000000000003
41,0.01200000000000001
42,0.030999999999999917
43,0.03300000000000003
44,0.026000000000000023
45,0.589
46,0.44399999999999995
47,0.33
48,0.249
49,0.24800000000000005
50,0.16400000000000003
51,0.10199999999999998
52,0.06999999999999995
53,0.122
54,0.09499999999999997
55,0.025999999999999968
56,0.02300000000000002
57,0.03900000000000001
58,0.03600000000000003
59,0.019000000000000017
60,0.016000000000000014
61,0.04099999999999998
62,0.03400000000000003
63,0.03400000000000003
64,0.051999999999999935
65,0.014000000000000012
66,0.04599999999999993
67,0.01200000000000001
68,0.050000000000000044
69,0.363
70,0.252
71,0.19200000000000003
72,0.11499999999999999
73,0.137
74,0.06799999999999995
75,0.041000000000000036
76,0.040000000000000036
77,0.029000000000000026
78,0.020000000000000004
79,0.040000000000000036
80,0.02200000000000002
81,0.03400000000000003
82,0.052999999999999936
83,0.032
84,0.038000000000000034
85,0.038999999999999924
86,0.038000000000000034
87,0.03700000000000003
88,0.04299999999999998
89,0.051999999999999935
90,0.06300000000000006
91,0.020999999999999963
92,0.030999999999999972
93,0.03400000000000003
94,0.07899999999999996
95,0.03700000000000003
96,0.040000000000000036
97,0.019000000000000017
98,0.03699999999999998
99,0.025999999999999968
100,0.04299999999999998
101,0.05500000000000005
102,0.020000000000000018
103,0.03699999999999992
104,0.04500000000000004
105,0.03300000000000003
106,0.025000000000000022
107,0.018000000000000016
108,0.02300000000000002
109,0.039000000000000035
110,0.023999999999999966
111,0.025000000000000022
112,0.04099999999999998
113,0.033999999999999996
114,0.03600000000000003
115,0.02399999999999991
116,0.03999999999999998
117,0.03300000000000003
118,0.04599999999999993
119,0.02799999999999997
120,0.04300000000000004
121,0.08399999999999996
122,0.065
123,0.07
124,0.04200000000000004
125,0.08199999999999996
126,0.05900000000000005
127,0.04799999999999999
128,0.05300000000000005
129,0.030999999999999917
130,0.03200000000000003
131,0.02300000000000002
132,0.012999999999999956
133,0.03600000000000003
134,0.027000000000000024
135,0.024999999999999994
136,0.026000000000000023
137,0.025000000000000022
138,0.049000000000000044
139,0.008000000000000007
140,0.04700000000000004
141,0.017
142,0.030000000000000027
143,0.015000000000000013
144,0.05300000000000005
145,0.029000000000000026
146,0.02400000000000002
147,0.01799999999999996
148,0.016999999999999994
149,0.284
150,0.24100000000000005
151,0.16700000000000004
152,0.12900000000000006
153,0.16800000000000004
154,0.139
155,0.09100000000000003
156,0.09299999999999997
157,0.027000000000000024
158,0.02400000000000002
159,0.016000000000000014
160,0.027000000000000024
161,0.02400000000000002
162,0.04299999999999993
163,0.038000000000000034
164,0.04299999999999993
165,0.03600000000000003
166,0.051000000000000045
167,0.04199999999999998
168,0.051000000000000045
169,0.050000000000000044
170,0.057999999999999996
171,0.019000000000000017
172,0.013
173,0.02800000000000001
174,0.031000000000000028
175,0.04899999999999993
176,0.021999999999999992
177,0.04800000000000004
178,0.03300000000000003
179,0.03699999999999998
180,0.028999999999999998
181,0.050999999999999934
182,0.02499999999999991
183,0.04799999999999993
184,0.029000000000000026
185,0.025000000000000022
186,0.05600000000000005
