traces_per_group,max_abs_t
10,412.1437175336281
20,560.5507133366457
30,655.4427508200553
40,725.2937545469941
50,812.7272545111882
60,889.5687628410217
70,935.619935979733
80,974.8842140044507
90,1057.4206864894256
100,1121.8558487856383
110,1144.2124769796499
120,1211.4527078903743
130,1276.9363538089037
140,1333.054208566634
150,1383.7843904956032
160,1432.393731975321
170,1466.8804151757386
180,1519.7252129768794
190,1541.2717793852858
200,1580.7646757845944
210,1614.3155682047163
220,1628.7502242576325
230,1667.4352685524761
240,1680.5676603590678
250,1699.099354016777
260,1715.2147463749143
270,1745.771479784661
280,1776.6429281832832
290,1787.0602738305383
300,1822.2296742217486
310,1839.6763240607381
320,1878.470820457179
330,1900.6254175440538
340,1935.5578530919354
350,1948.8364592347855
360,1974.4595140260521
370,1997.2827087792361
380,2027.86208609117
390,2052.8435451817436
400,2087.349375548493
410,2102.8973233532392
420,2126.8679124408245
430,2159.596723462809
440,2185.1348210830806
450,2209.757307967896
460,2229.3186732607705
470,2247.19775849152
480,2266.183412610309
490,2285.4904801523708
500,2307.3329399012064
510,2323.079351174142
520,2349.8432530139744
530,2376.2724000591706
540,2370.0902365069096
550,2388.5933455293402
560,2389.778328928812
570,2414.575510507297
580,2439.9287446536905
590,2455.0540979689313
600,2476.8916151317703
610,2498.91945574656
620,2520.6304414289775
630,2541.5588992101407
640,2552.2030289148533
650,2573.0749116720626
660,2601.8409919844444
670,2613.8498234844837
680,2635.0889801010185
690,2648.1046972316562
700,2667.2892166710362
710,2690.6046605295173
720,2709.333557738712
730,2723.293429069752
740,2744.6732121901937
750,2762.493293039875
760,2784.0682805481806
770,2806.2970254929296
780,2819.1030845005625
790,2834.396850531655
800,2842.4746802883633
810,2860.562108660927
820,2877.4327304833464
830,2886.2186370278137
840,2897.3587330746873
850,2907.9562947028967
860,2925.4306940340907
870,2940.2334630222645
880,2962.475655336024
890,2984.03104028333
900,3001.287648845358
910,3019.9402424132754
920,3032.197298644813
930,3043.967746132773
940,3067.52683160215
950,3078.450894595719
960,3097.341050787366
970,3117.121425743711
980,3132.1664527260473
990,3148.2619299133544
1000,3162.2540263915885
